case_id,condition,min_age,max_age,gender,min_bmi,max_bmi,min_blood_sugar,max_blood_sugar,medicine_name,dosage,frequency,time_of_day,duration_days,instructions,note
1,pregnant_risk,18,45,FEMALE,0,99,9.0,99,Insulin Aspart (NovoRapid) 100 IU/mL,4-6 IU / lần,3 lần/ngày,"07:00,12:00,19:00",30,Tiêm dưới da trước ăn 5-10 phút. Điều chỉnh liều theo chỉ định bác sĩ.,Bệnh nhân nữ trong độ tuổi sinh sản - ưu tiên Insulin (an toàn khi mang thai - theo ADA 2023)
2,pregnant_risk,18,45,FEMALE,0,99,9.0,99,Insulin Glargine (Lantus) 100 IU/mL,10 IU / lần,1 lần/ngày,22:00,30,Tiêm dưới da trước ngủ. Không pha trộn với insulin khác.,Bệnh nhân nữ trong độ tuổi sinh sản - ưu tiên Insulin (an toàn khi mang thai - theo ADA 2023)
3,elderly,70,99,ALL,0,99,0,99,Metformin 500mg,1 viên / lần,1 lần/ngày,07:00,30,Uống sau ăn sáng. Theo dõi chức năng thận định kỳ.,Bệnh nhân cao tuổi (>=70 tuổi) - liều thấp - ưu tiên an toàn - tránh hạ đường huyết
4,elderly_high,70,99,ALL,0,99,10.0,99,Sitagliptin (Januvia) 50mg,1 viên / lần,1 lần/ngày,07:00,30,Uống cùng hoặc không cùng bữa ăn. Ít nguy cơ hạ đường huyết.,Bệnh nhân cao tuổi (>=70 tuổi) - đường huyết cao - phối hợp Sitagliptin
5,obese,18,69,ALL,30,99,0,99,Metformin 500mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống sau ăn. Tăng dần liều sau 2 tuần nếu dung nạp tốt.,Béo phì (BMI>=30) - phác đồ ưu tiên kiểm soát cân nặng theo ADA 2023
6,obese_high,18,69,ALL,30,99,10.0,99,Semaglutide (Ozempic) 0.25mg,0.25mg / lần,1 lần/tuần,07:00,28,Tiêm dưới da cùng ngày mỗi tuần. Tăng lên 0.5mg sau 4 tuần nếu cần.,Béo phì (BMI>=30) - đường huyết cao - bổ sung GLP-1
7,pediatric,0,17,ALL,0,99,0,99,Metformin 500mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống sau ăn. Khởi đầu liều thấp - tăng dần theo dung nạp.,Bệnh nhân dưới 18 tuổi - chỉ Metformin được FDA/ADA chấp thuận cho trẻ em tiểu đường type 2
8,very_high,18,69,ALL,0,29.9,14.0,99,Metformin 1000mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống sau ăn.,Đường huyết rất cao (>=14 mmol/L) - phối hợp 2 thuốc - cần tái khám sớm
9,very_high,18,69,ALL,0,29.9,14.0,99,Glipizide 5mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống trước ăn 30 phút.,Đường huyết rất cao (>=14 mmol/L) - phối hợp 2 thuốc - cần tái khám sớm
10,high,18,69,ALL,0,29.9,11.0,13.9,Metformin 500mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống sau ăn.,Đường huyết cao (11-14 mmol/L) - phối hợp Metformin + Glipizide
11,high,18,69,ALL,0,29.9,11.0,13.9,Glipizide 5mg,1 viên / lần,1 lần/ngày,07:00,30,Uống trước ăn sáng 30 phút.,Đường huyết cao (11-14 mmol/L) - phối hợp Metformin + Glipizide
12,mild,18,69,ALL,0,29.9,0,10.9,Metformin 500mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống sau ăn.,Đường huyết tăng nhẹ (<11 mmol/L) - đơn trị liệu Metformin
