case_id,condition,min_age,max_age,gender,min_bmi,max_bmi,min_blood_sugar,max_blood_sugar,medicine_name,dosage,frequency,time_of_day,duration_days,instructions,note,source,contraindications
1,pregnant_risk,18,45,FEMALE,0,99,9.0,99,Insulin Aspart (NovoRapid) 100 IU/mL,4-6 IU / lần,3 lần/ngày,"07:00,12:00,19:00",30,Tiêm dưới da trước ăn 5-10 phút. Điều chỉnh liều theo chỉ định bác sĩ.,Bệnh nhân nữ trong độ tuổi sinh sản - ưu tiên Insulin (an toàn khi mang thai),QD 3280/5481-BYT (Bo Y te VN) + ADA,Thận trọng nguy cơ hạ đường huyết nếu liều không phù hợp
2,pregnant_risk,18,45,FEMALE,0,99,9.0,99,Insulin Glargine (Lantus) 100 IU/mL,10 IU / lần,1 lần/ngày,22:00,30,Tiêm dưới da trước ngủ. Không pha trộn với insulin khác.,Bệnh nhân nữ trong độ tuổi sinh sản - ưu tiên Insulin,QD 3280/5481-BYT (Bo Y te VN) + ADA,Thận trọng nguy cơ hạ đường huyết nếu liều không phù hợp
3,elderly,70,99,ALL,0,99,0,99,Metformin 500mg,1 viên / lần,1 lần/ngày,07:00,30,Uống sau ăn sáng. Theo dõi chức năng thận (eGFR) định kỳ 3-6 tháng/lần.,Người cao tuổi - Metformin ít nguy cơ hạ đường huyết - giảm liều nếu eGFR 30-45,"ADA 2026 Sec.13 (tham khao quoc te, chua co trong QD BYT)","Suy thận nặng (eGFR<30), suy gan, suy tim mất bù, đang nhiễm toan chuyển hóa"
4,elderly_high,70,99,ALL,0,99,10.0,99,Sitagliptin (Januvia) 50mg,1 viên / lần,1 lần/ngày,07:00,30,Uống cùng hoặc không cùng bữa ăn. Ít nguy cơ hạ đường huyết.,Người cao tuổi đường huyết cao - DPP-4i an toàn cho người già,QD 3280/5481-BYT (Bo Y te VN) + ADA,"Tiền sử viêm tụy cấp, thận trọng ở người suy thận (cần chỉnh liều)"
5,elderly_high,70,99,ALL,0,99,10.0,99,Empagliflozin (Jardiance) 10mg,1 viên / lần,1 lần/ngày,07:00,30,Uống buổi sáng. Theo dõi nguy cơ mất nước/hạ huyết áp ở người già.,Người cao tuổi - SGLT2i thay thế nếu có chỉ định tim mạch/thận kèm theo,"ADA 2025-2026 Sec.9 (tham khao quoc te, chua co trong QD BYT)","Suy thận nặng (eGFR<20), nhiễm trùng tiết niệu/sinh dục tái phát, không dùng khi đang mất nước"
6,obese,18,69,ALL,25,99,0,99,Metformin 500mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống sau ăn. Tăng dần liều sau 2 tuần nếu dung nạp tốt.,Béo phì - vẫn khởi đầu Metformin theo phác đồ nền,QD 3280/5481-BYT (Bo Y te VN) + ADA,"Suy thận nặng (eGFR<30), suy gan, suy tim mất bù, đang nhiễm toan chuyển hóa"
7,obese_high,18,69,ALL,25,99,10.0,99,Semaglutide (Ozempic) 0.25mg,0.25mg / lần,1 lần/tuần,07:00,28,Tiêm dưới da cùng ngày mỗi tuần. Tăng lên 0.5mg sau 4 tuần nếu cần.,Béo phì + đường huyết cao - GLP-1 RA ưu tiên hàng đầu vì lợi ích giảm cân,"ADA 2025-2026 Sec.8 (tham khao quoc te, chua co trong QD BYT)","Tiền sử viêm tụy cấp, tiền sử ung thư tuyến giáp thể tủy (MTC) hoặc đa u nội tiết tuýp 2 (MEN2), bệnh lý dạ dày nặng"
8,obese_high,18,69,ALL,25,99,10.0,99,Tirzepatide (Mounjaro) 2.5mg,2.5mg / lần,1 lần/tuần,07:00,28,Tiêm dưới da. Thuốc đôi GIP/GLP-1 - hiệu quả giảm cân cao hơn GLP-1 đơn thuần.,Béo phì nặng - lựa chọn thay thế Semaglutide khi cần giảm cân nhiều hơn,"ADA 2025-2026 Sec.8 (tham khao quoc te, chua co trong QD BYT)","Tiền sử viêm tụy cấp, tiền sử ung thư tuyến giáp thể tủy (MTC) hoặc MEN2, bệnh lý dạ dày nặng"
9,pediatric,0,17,ALL,0,99,0,99,Metformin 500mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống sau ăn. Khởi đầu liều thấp - tăng dần theo dung nạp.,"Trẻ em - chỉ Metformin được FDA/ADA chấp thuận cho tiểu đường type 2 trẻ em | CANH BAO: QD 3280/BYT KHONG ap dung cho nguoi duoi 18 tuoi - case nay chi tham khao ADA quoc te, BAT BUOC chuyen khoa Nhi duyet truoc khi ke don.",QD 3280/5481-BYT (Bo Y te VN) + ADA,"Suy thận nặng (eGFR<30), suy gan, suy tim mất bù, đang nhiễm toan chuyển hóa"
10,very_high,18,69,ALL,0,29.9,14.0,99,Metformin 1000mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống sau ăn.,Đường huyết rất cao - phối hợp 2 thuốc - cần tái khám sớm,QD 3280/5481-BYT (Bo Y te VN) + ADA,"Suy thận nặng (eGFR<30), suy gan, suy tim mất bù, đang nhiễm toan chuyển hóa"
11,very_high,18,69,ALL,0,29.9,14.0,99,Glipizide 5mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống trước ăn 30 phút.,Đường huyết rất cao - phối hợp 2 thuốc,QD 3280/5481-BYT (Bo Y te VN) + ADA,"Suy gan/thận nặng, dễ gây hạ đường huyết ở người cao tuổi - cần thận trọng"
12,high,18,69,ALL,0,29.9,11.0,13.9,Metformin 500mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống sau ăn.,"Đường huyết cao - phối hợp Metformin + Glipizide | Theo QD BYT: BMI>=23 uu tien Metformin, BMI<23 uu tien Sulfonylurea (Glipizide).",QD 3280/5481-BYT (Bo Y te VN) + ADA,"Suy thận nặng (eGFR<30), suy gan, suy tim mất bù, đang nhiễm toan chuyển hóa"
13,high,18,69,ALL,0,29.9,11.0,13.9,Glipizide 5mg,1 viên / lần,1 lần/ngày,07:00,30,Uống trước ăn sáng 30 phút.,"Đường huyết cao - phối hợp | Theo QD BYT: chi dinh khi BMI<23, lieu 2.5-20mg/ngay.",QD 3280/5481-BYT (Bo Y te VN) + ADA,"Suy gan/thận nặng, dễ gây hạ đường huyết ở người cao tuổi - cần thận trọng"
14,high,18,69,ALL,0,29.9,11.0,13.9,Dapagliflozin (Forxiga) 10mg,1 viên / lần,1 lần/ngày,07:00,30,Uống buổi sáng. Cân nhắc nếu có bệnh tim mạch/thận kèm theo.,Lựa chọn thay thế SGLT2i nếu có chỉ định tim mạch,"ADA 2025-2026 Sec.9 (tham khao quoc te, chua co trong QD BYT)","Suy thận nặng, nhiễm trùng tiết niệu/sinh dục tái phát, không dùng khi đang mất nước"
15,mild,18,69,ALL,0,29.9,0,10.9,Metformin 500mg,1 viên / lần,2 lần/ngày,"07:00,19:00",30,Uống sau ăn.,"Đường huyết tăng nhẹ - đơn trị liệu Metformin (first-line theo ADA) | Theo QD BYT: BMI>=23 uu tien Metformin, BMI<23 uu tien Sulfonylurea (Glipizide).",QD 3280/5481-BYT (Bo Y te VN) + ADA,"Suy thận nặng (eGFR<30), suy gan, suy tim mất bù, đang nhiễm toan chuyển hóa"
